date,hour,AQI,PM2.5,PM10,SO2,NO2,O3,CO,气压,海平面气压,温度,相对湿度,降水量,最大风速
2020/10/6,8,14,10,14,5,17,41,0.6,966.1,1021,14.7,89,0,2.3
2020/10/6,9,18,12,18,5,19,37,0.61,966.5,1021.4,15.1,86,0,2.6
2020/10/6,10,19,13,18,5,22,32,0.6,966.7,1021.6,15.6,85,0,2.9
2020/10/6,11,17,12,17,5,22,32,0.67,966.7,1021.5,16,83,0,2.8
2020/10/6,12,16,11,16,5,22,36,0.64,966.2,1021,16.7,80,0,2
2020/10/6,13,19,13,18,5,17,38,0.64,965.4,1020.1,16.9,79,0,3.1
2020/10/6,14,19,12,19,5,21,35,0.62,964.8,1019.5,16.8,79,0,3.2
2020/10/6,15,16,10,16,5,18,39,0.6,963.6,1018.2,17,76,0,2.6
2020/10/6,16,13,7,12,5,17,41,0.53,963.4,1018,17.4,73,0,2
2020/10/6,17,13,7,13,5,20,42,0.56,964.1,1018.8,17.5,76,0,1
2020/10/6,18,15,9,15,5,26,34,0.6,964.4,1019.1,16.9,81,0,1.3
2020/10/6,19,17,10,17,5,28,30,0.61,965.1,1019.9,16.6,88,0,0.7
2020/10/6,20,19,11,19,5,28,26,0.61,966.2,1021.1,16.3,93,0,0.8
2020/10/6,21,19,12,19,5,31,21,0.63,967.6,1022.5,16.1,93,0,0.9
2020/10/6,22,17,11,17,5,30,17,0.64,968.2,1023.2,15.8,94,0.2,1.1
2020/10/6,23,19,13,18,5,33,13,0.64,968.4,1023.4,15.5,96,0.1,1.7
2020/10/7,0,20,14,20,5,35,8,0.71,968.6,1023.5,15.3,96,3.1,1.2
2020/10/7,1,23,16,22,5,38,7,0.74,968.6,1023.5,15,96,1.5,1.3
2020/10/7,2,23,16,23,5,42,4,0.71,968.2,1023.1,14.9,97,0.1,1
2020/10/7,3,24,17,21,5,42,4,0.7,967.9,1022.8,14.9,97,0,1.1
2020/10/7,4,26,18,22,5,40,4,0.71,967.7,1022.5,14.9,97,0,1
2020/10/7,5,31,22,27,5,37,5,0.7,967.4,1022.2,14.7,97,0,1.1
2020/10/7,6,37,26,31,5,35,4,0.69,967.5,1022.4,14.5,97,0,0.9
2020/10/7,7,37,26,31,5,31,5,0.71,968,1023,14.2,97,0,1
2020/10/7,8,34,24,31,5,31,4,0.74,968.6,1023.6,14.6,98,0,0.7
2020/10/7,9,40,28,35,6,31,9,0.79,968.9,1023.9,15.5,95,0,1.1
2020/10/7,10,43,30,38,6,32,17,0.79,969.2,1024.1,16.8,84,0,1.3
2020/10/7,11,33,23,30,5,30,29,0.7,969,1023.8,18.5,73,0,1.5
2020/10/7,12,30,21,27,5,28,39,0.66,968,1022.7,18.7,73,0,2
2020/10/7,13,27,19,27,5,26,47,0.63,966.8,1021.4,19.7,68,0,2.2
2020/10/7,14,23,16,21,6,22,61,0.6,965.6,1020,20.6,63,0,2
2020/10/7,15,21,15,21,6,24,60,0.6,964.5,1018.9,20.3,68,0,1.8
2020/10/7,16,21,15,21,6,26,59,0.62,963.9,1018.4,19.1,71,0,2.1
2020/10/7,17,21,13,21,6,29,52,0.63,964,1018.5,18.7,75,0,1.5
2020/10/7,18,20,12,20,5,30,50,0.63,964.2,1018.8,18.3,81,0,1.4
2020/10/7,19,21,12,21,5,32,43,0.64,964.4,1019.1,18,80,0,1.6
2020/10/7,20,19,11,19,5,29,42,0.66,964.8,1019.5,17.5,90,0,0.7
2020/10/7,21,21,12,21,5,33,35,0.66,965.3,1020,17.2,89,0,1.4
2020/10/7,22,25,14,25,5,40,23,0.69,965.5,1020.1,16.9,89,0,1.3
2020/10/7,23,26,14,26,5,42,18,0.66,965.4,1019.8,16.6,88,0,1.6
2020/10/8,0,24,13,24,5,38,19,0.66,965.1,1019.5,16.4,90,0,0.9
2020/10/8,1,32,19,32,5,34,18,0.66,964.8,1019.1,16.2,91,0,1
2020/10/8,2,42,27,42,6,30,20,0.69,964.7,1019,16,93,0,1.4
2020/10/8,3,33,21,33,5,25,27,0.66,964.6,1018.9,15.8,94,0,1.5
2020/10/8,4,32,21,32,5,21,27,0.64,964.4,1018.8,15.7,94,0,1.4
2020/10/8,5,35,24,35,5,20,26,0.64,964.5,1019,15.6,95,0,1.5
2020/10/8,6,36,25,36,5,20,26,0.61,965.1,1019.7,15.5,96,0,1.2
2020/10/8,7,39,27,39,5,21,23,0.63,965.8,1020.4,15.6,95,0,1.4
2020/10/8,8,46,32,44,5,27,14,0.7,966.5,1021.2,15.7,95,0,1.9
2020/10/8,9,50,35,48,5,28,15,0.71,967.4,1022.1,16,92,0,2.1
2020/10/8,10,49,34,47,6,26,21,0.73,968.1,1022.9,16.4,90,0,2.6
2020/10/8,11,49,34,47,5,26,24,0.73,968.3,1023.1,16.9,86,0,2.8
2020/10/8,12,46,32,45,5,25,33,0.7,967.8,1022.5,17.8,81,0,2.5
2020/10/8,13,40,28,39,5,22,44,0.64,967.1,1021.7,18.7,73,0,2.2
2020/10/8,14,33,23,33,5,20,54,0.61,966.3,1020.8,19.3,72,0,2.4
2020/10/8,15,31,21,31,5,21,55,0.61,965.8,1020.3,19.4,71,0,1.9
2020/10/8,16,30,20,30,5,23,50,0.6,965.6,1020.1,19.3,70,0,1.6
2020/10/8,17,30,19,30,5,28,45,0.62,965.8,1020.3,19.1,72,0,1.2
2020/10/8,18,29,18,29,5,33,35,0.66,966.1,1020.7,18.3,85,0,0.7
2020/10/8,19,32,18,32,5,39,22,0.71,966.7,1021.4,17.9,91,0,1
2020/10/8,20,35,20,35,5,44,15,0.76,967.4,1022.2,17.3,92,0,0.6
2020/10/8,21,38,22,38,5,44,13,0.79,968.1,1022.9,17.1,92,0,1.2
2020/10/8,22,40,24,40,5,42,12,0.8,968.5,1023.3,17.1,89,0,1.4
2020/10/8,23,40,23,40,5,38,13,0.81,968.7,1023.5,16.9,91,0,1.4
2020/10/9,0,43,25,43,5,38,14,0.76,968.8,1023.5,16.9,91,0,1.5
